A_form5,B_form5,form_diff5,A_form10,B_form10,form_diff10,A_overall_wr,B_overall_wr,overall_wr_diff,A_venue_wr,B_venue_wr,A_venue_exp,B_venue_exp,venue_exp_diff,venue_wr_diff,venue_bat_first_wr,A_avg_score,B_avg_score,score_diff,A_avg_wickets,B_avg_wickets,wicket_diff,h2h_wr_A,h2h_n,toss_decision_bat,toss_correct,A_consistency,B_consistency,season_stage,team1_won,match_id,season,team_A,team_B
0.6,0.6,0.0,0.5,0.6,-0.1,0.3636,0.7391,-0.3755,0.5,0.5,0,2,-2,0.0,0.5,141.73,155.0,-13.27,5.05,6.83,-1.78,0.3333,3,0,0,0.5,0.4841,1,0,392213,2009,Royal Challengers Bangalore,Rajasthan Royals
0.6,0.6,0.0,0.6,0.5,0.1,0.5652,0.6087,-0.0435,1.0,0.5,1,0,1,0.5,0.5,160.65,155.7,4.95,6.35,5.87,0.48,1.0,3,1,1,0.5,0.5,1,1,392214,2009,Chennai Super Kings,Kings XI Punjab
0.6,0.4,0.2,0.7,0.4,0.3,0.5714,0.4762,0.0952,0.5,1.0,0,1,-1,-0.5,0.5,148.1,148.9,-0.8,6.95,6.67,0.28,0.5,2,1,1,0.4841,0.5,1,1,392215,2009,Delhi Capitals,Mumbai Indians
0.4,0.4,0.0,0.5,0.4,0.1,0.3182,0.5833,-0.2651,0.5,0.5,0,0,0,0.0,0.5,154.0,156.46,-2.46,5.45,5.75,-0.3,0.0,2,0,0,0.4841,0.5,1,0,392216,2009,Deccan Chargers,Kings XI Punjab
0.8,0.8,0.0,0.6,0.7,-0.1,0.5833,0.75,-0.1667,0.5,0.5,0,0,0,0.0,0.5,161.67,153.0,8.67,6.21,6.96,-0.75,0.25,4,1,1,0.4841,0.4841,1,1,392217,2009,Chennai Super Kings,Rajasthan Royals
0.6,0.2,0.4,0.4,0.4,0.0,0.3478,0.4545,-0.1067,0.0,1.0,2,1,1,-1.0,0.4,140.13,147.41,-7.28,4.96,6.5,-1.54,0.6667,3,1,0,0.4841,0.4841,1,0,392218,2009,Royal Challengers Bangalore,Mumbai Indians
0.6,0.0,0.6,0.7,0.2,0.5,0.5909,0.3333,0.2576,0.0,0.5,1,0,1,-0.5,0.5,146.73,141.29,5.44,7.09,5.05,2.04,0.5,2,0,0,0.433,0.3307,1,1,392219,2009,Delhi Capitals,Kolkata Knight Riders
0.2,0.6,-0.4,0.5,0.6,-0.1,0.3043,0.72,-0.4157,0.0,0.0,1,1,0,0.0,0.5,154.61,152.48,2.13,5.52,6.8,-1.28,0.0,3,1,1,0.5,0.4841,1,1,392220,2009,Deccan Chargers,Rajasthan Royals
0.4,0.4,0.0,0.5,0.5,0.0,0.6,0.4783,0.1217,0.0,0.0,1,1,0,0.0,0.5,156.96,147.83,9.13,5.72,6.52,-0.8,1.0,3,1,1,0.4841,0.4841,1,0,392222,2009,Kings XI Punjab,Mumbai Indians
0.6,0.0,0.6,0.4,0.2,0.2,0.3333,0.3182,0.0151,0.0,0.5,1,0,1,-0.5,0.5,140.17,140.45,-0.28,4.83,4.95,-0.12,0.3333,3,0,0,0.4841,0.3307,1,1,392221,2009,Royal Challengers Bangalore,Kolkata Knight Riders
